productName,variantName,productPrice,productImage,categoryID
Red Coral Grouper Fillet +/-700g,,60,media/Site Files/Red-Coral-Grouper-Fillet.jpg,18
Big Prawn / 大虾 / Udang Besar – 21/25 (1kg),,50,media/Site Files/Prawn-DL-2125.jpg,21
Flounder Fillet / 无骨鲽鱼 +/-1kg,,30,media/Site Files/Flounder-Fillet.jpg,20
Grouper Fillet / 石斑鱼片 (1kg),,56,media/Site Files/Grouper-Fillet.jpg,20
Big Prawn / 大虾 / Udang Besar – 31/35 (1kg),,39,media/Site Files/Prawn-TL-3135-.jpg,21
Big Prawn / 大虾 / Udang Besar – 21/30 (1kg),,43,media/Site Files/Prawn-DT-2130--rotated.jpg,21
Mantis Shrimp Meat / 虾姑肉 (300g),,10,media/Site Files/Mantis-Shrimp-Meat.jpg,21
Big Prawn / 大虾 / Udang Besar – 41/50 (1kg),,35,media/Site Files/Prawn-EL-41_50.jpg,21
Baby Octopus (300g),,12,media/Site Files/baby octupus.jpg,22
Norwegian Salmon Head 冷冻三文鱼头 (1 pc),,8,media/Site Files/Frozen-Salmon-Head.jpg,20
Dory Fish / 时多利鱼肉片 (900-1kg),,13.2,media/Site Files/Dory-Fillet.jpg,20
Tilapia Fish Fillet / 非洲鱼片 (2 pcs) +/-380g,,10,media/Site Files/Tilapia-Fillet.jpg,20
Dried Shrimps 200G / 虾米 / Udang Kering (200g),,13,media/Site Files/dried-shrimp-1-1.jpg,21
Local Ming Prawn 本地明虾 (400-500g),,30,media/Site Files/Ming-Prawn.jpg,21
Perch fillet / 宝石鲈鱼片 (2 pcs) +/-700,,14,media/Site Files/Perch-Fillet.jpg,20
Chilean Atlantic Salmon Fillet / 智利三文鱼 (2 or 4 pcs),,26.7,media/Site Files/Chile-Salmon-Fillet.jpg,20
Washed W.Chestnut/Water Chestnut,Washed Water Chestnut(500g*20p),0,media/Site Files/c43d2d_6a5094b786bb469a9ce3151d0d32657a_mv2.webp.png,24
Washed W.Chestnut/Water Chestnut,Water Chestnut(10kg),85,media/Site Files/c43d2d_6a5094b786bb469a9ce3151d0d32657a_mv2.webp.png,24
Chestnut(40-60)/10kg,,95,media/Site Files/chestnut.jpg,24
Cavendish Banana / Pisang Montel (1kg),,6.5,media/Site Files/Montel-Banana.jpg,24
Berangan Banana (1kg),,7.8,media/Site Files/Berangan-Banana.jpg,24
Navel Orange/CHINA/113p,,55,media/Site Files/navel orange.jpg,24
